,Facility Id,FRS Id,Facility Name,City,State,Latitude,Longitude,Total reported emissions,CO2 emissions,Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,SF6 emissions,Subpart Letter,Name of industry,Facility Type
121,1003646,110070724783,COASTAL PLAINS RECYCLING AND DISPOSAL FACILITY,ALVIN,TX,29.409783,-95.196826,79536.25,,79536.25,,,HH,Municipal Landfills,Direct Emitter
122,1006186,110041647411,COFFEE LANDFILL,ELBA,AL,31.511427,-85.995735,172618.25,,172618.25,,,HH,Municipal Landfills,Direct Emitter
123,1007054,110071161152,COFFIN BUTTE LANDFILL,CORVALLIS,OR,44.69932,-123.22359,32727.25,,32727.25,,,HH,Municipal Landfills,Direct Emitter
124,1006322,110001173989,COLD CANYON LANDFILL SOLID WASTE DS,SAN LUIS OBISPO,CA,35.189859,-120.602877,32133.5,,32133.5,,,HH,Municipal Landfills,Direct Emitter
125,1006348,110020580771,COLES COUNTY LANDFILL,CHARLESTON,IL,39.495529,-88.288727,1548.75,,1548.75,,,HH,Municipal Landfills,Direct Emitter
126,1002510,110013981824,COLONIAL LANDFILL,SORRENTO,LA,30.149365,-90.872875,25822.5,,25822.5,,,HH,Municipal Landfills,Direct Emitter
127,1004691,110012694557,COLTON SANITARY LANDFILL,COLTON,CA,34.045505,-117.336573,21923.0,,21923.0,,,HH,Municipal Landfills,Direct Emitter
128,1003959,110014013824,COLUMBUS SCHATULGA ROAD SANITARY LF,COLUMBUS,GA,32.497472,-84.866462,30553.0,,30553.0,,,HH,Municipal Landfills,Direct Emitter
129,1004224,110043793687,CORRALITOS REGIONAL LANDFILL,LAS CRUCES,NM,32.258796,-107.027915,21298.5,,21298.5,,,HH,Municipal Landfills,Direct Emitter
130,1007579,110015830591,COSHOCTON LANDFILL INC *,COSHOCTON,OH,40.223,-81.826,17119.75,,17119.75,,,HH,Municipal Landfills,Direct Emitter
131,1002104,110061008804,COYOTE CANYON SANITARY LANDFILL,Newport Beach,CA,33.617152,-117.826108,55470.25,,55470.25,,,HH,Municipal Landfills,Direct Emitter
132,1005397,110022407956,CRAIGHEAD COUNTY SOLID WASTE DISPOSAL,JONESBORO,AR,35.71958,-90.684793,63174.5,,63174.5,,,HH,Municipal Landfills,Direct Emitter
133,1005356,110071162088,CROOK COUNTY LANDFILL,PRINEVILLE,OR,44.298198,-120.915862,23520.25,,23520.25,,,HH,Municipal Landfills,Direct Emitter
134,1002644,110008142198,CSC DISPOSAL AND LANDFILL,AVALON,TX,32.223334,-96.787501,86839.25,,86839.25,,,HH,Municipal Landfills,Direct Emitter
135,1007902,110013857807,CUYAHOGA REGIONAL SANITARY LANDFILL,SOLON,OH,41.37403,-81.47463,8908.75,,8908.75,,,HH,Municipal Landfills,Direct Emitter
136,1005482,110071159907,Caliche Canyon Landfill,Lubbock,TX,33.655501,-101.775171,67670.75,,67670.75,,,HH,Municipal Landfills,Direct Emitter
137,1010207,110055519826,California Street Landfill,City of Redlands,CA,34.08907,-117.21742,6557.75,,6557.75,,,HH,Municipal Landfills,Direct Emitter
138,1003933,110012689046,Camden County SR 110 MSW Landfill,Woodbine,GA,30.963831,-81.722855,98893.25,,98893.25,,,HH,Municipal Landfills,Direct Emitter
139,1004128,110024523461,Cedar Grove Landfill,Barnesville,GA,33.08303,-84.20562,62685.75,,62685.75,,,HH,Municipal Landfills,Direct Emitter
140,1001766,110002439601,Cedar Rapids/Linn County Solid Waste Agency Site #1,CEDAR RAPIDS,IA,42.085004,-91.556144,59327.25,,59327.25,,,HH,Municipal Landfills,Direct Emitter
141,1002244,110043795514,CenterPoint Landfill,PRAGUE,OK,35.543891,-96.647746,40055.5,,40055.5,,,HH,Municipal Landfills,Direct Emitter
142,1002899,110009074090,Central County Solid Waste Disposal Complex,Nokomis,FL,27.1973,-82.3893,147551.25,,147551.25,,,HH,Municipal Landfills,Direct Emitter
143,1007707,110060396398,Central Landfill,McNeill,MS,30.7073,-89.6017,71633.75,,71633.75,,,HH,Municipal Landfills,Direct Emitter
144,1008252,110070081984,Champ Landfill,Maryland Heights,MO,38.737417,-90.461032,224593.75,,224593.75,,,HH,Municipal Landfills,Direct Emitter
145,1003099,110070081851,Charlotte Motor Speedway Landfill V,CONCORD,NC,35.345247,-80.682062,181540.75,,181540.75,,,HH,Municipal Landfills,Direct Emitter
146,1002509,110013317035,Charter Waste Landfill,Odessa,TX,31.745833,-102.546661,138367.5,,138367.5,,,HH,Municipal Landfills,Direct Emitter
147,1007015,110066177130,Chateau Fresno Landfill,Fresno,CA,36.68793,-119.94582,1618.0,,1618.0,,,HH,Municipal Landfills,Direct Emitter
148,1011669,110065118492,City of Clovis Landfill,Clovis,CA,36.939808,-119.688798,16766.0,,16766.0,,,HH,Municipal Landfills,Direct Emitter
149,1010957,110056413082,City of Dothan Sanitary Landfill,Dothan,AL,31.24037,-85.35688,131949.5,,131949.5,,,HH,Municipal Landfills,Direct Emitter
150,1004423,110071159214,City of Greenville Closed Landfill,Greenville,SC,34.80839,-82.334338,27980.0,,27980.0,,,HH,Municipal Landfills,Direct Emitter
151,1006634,110043972065,City of Irving/ Hunter Ferrell Landfill,Irving,TX,32.81353,-96.95529,141220.5,,141220.5,,,HH,Municipal Landfills,Direct Emitter
152,1004460,110062120164,City of Laredo Landfill,Laredo,TX,27.49694,-99.40444,178408.75,,178408.75,,,HH,Municipal Landfills,Direct Emitter
153,1002538,110039868168,City of Midland MSW Landfill,Midland,TX,32.00004,-102.07569,129419.25,,129419.25,,,HH,Municipal Landfills,Direct Emitter
